Gene	Name	Description	Fold Change	Adjusted p-values	Base Mean	log2FoldChange
PA0689	lapB	low-molecular-weight alkaline phosphatase B, LapB	-2.31	4.27E-05	39.89	-1.21
PA0704		probable amidase	-4.95	2.42E-08	169.75	-2.31
PA0707	toxR	transcriptional regulator ToxR	-1.74	0.0228830488	195.23	-0.80
PA0708		probable transcriptional regulator	1.53	0.0041644921	91.92	0.61
PA0709		hypothetical protein	-2.15	0.0354087037	11.11	-1.11
PA0711		hypothetical protein	3.55	1.48E-08	27.98	1.83
PA0712		hypothetical protein	1.53	0.0161580423	64.45	0.61
PA0713		hypothetical protein	-3.58	5.08E-07	81.81	-1.84
PA0715		hypothetical protein	-1.59	0.0118328388	749.68	-0.67
PA0716		hypothetical protein	-1.70	0.0124719799	819.32	-0.77
PA0722		hypothetical protein of bacteriophage Pf1	-1.67	0.0105176062	83.81	-0.74
PA0723	coaB	coat protein B of bacteriophage Pf1	-2.04	2.50E-09	237.71	-1.03
PA0726		hypothetical protein of bacteriophage Pf1	-3.42	5.78E-06	18.54	-1.77
PA0727		hypothetical protein from bacteriophage Pf1	-2.49	2.33E-07	93.36	-1.31
PA0728		probable bacteriophage integrase	-2.61	7.02E-08	44.57	-1.38
PA0729		hypothetical protein	2.38	2.28E-32	830.22	1.25
PA0730		probable transferase	2.63	1.51E-07	265.23	1.39
PA0732		hypothetical protein	-5.27	3.98E-14	149.82	-2.40
PA0743		probable 3-hydroxyisobutyrate dehydrogenase	-7.48	2.78E-06	174.67	-2.90
PA0744		probable enoyl-CoA hydratase/isomerase	-9.17	3.38E-07	412.28	-3.20
PA0745		probable enoyl-CoA hydratase/isomerase	-7.89	9.96E-07	483.75	-2.98
PA0746		probable acyl-CoA dehydrogenase	-6.34	9.74E-05	326.91	-2.66
PA0747		probable aldehyde dehydrogenase	-4.33	2.50E-06	494.85	-2.11
PA0751		conserved hypothetical protein	2.51	0.0088786027	134.31	1.33
PA0756		probable two-component response regulator	1.73	0.0001962598	113.29	0.79
PA0757		probable two-component sensor	1.70	0.0020373142	137.00	0.76
PA0758		hypothetical protein	3.05	7.42E-23	580.05	1.61
PA0759		conserved hypothetical protein	1.91	1.42E-06	379.51	0.94
PA0760		conserved hypothetical protein	3.11	4.16E-31	275.68	1.64
PA0766	mucD	serine protease MucD precursor	-2.80	1.15E-12	2319.15	-1.48
PA0767	lepA	GTP-binding protein LepA	4.41	3.52E-43	3287.23	2.14
PA0768	lepB	signal peptidase I	5.24	2.88E-51	1478.94	2.39
PA0769		hypothetical protein	2.25	2.56E-05	477.43	1.17
PA0770	rnc	ribonuclease III	3.01	1.47E-09	625.07	1.59
PA0771	era	GTP-binding protein Era	2.85	1.68E-05	908.13	1.51
PA0772	recO	DNA repair protein RecO	2.35	0.0014100578	136.63	1.23
PA0774		conserved hypothetical protein	14.68	3.18E-72	542.39	3.88
PA0775		conserved hypothetical protein	9.67	6.21E-139	581.50	3.27
PA0776		hypothetical protein	-2.60	0.0020585203	33.63	-1.38
PA0779	asrA	AsrA	-25.60	1.79E-19	1810.15	-4.68
PA0784		probable transcriptional regulator	-3.62	2.53E-09	381.95	-1.86
PA0787		hypothetical protein	2.46	1.09E-14	153.31	1.30
PA0788		hypothetical protein	-6.46	4.18E-06	104.07	-2.69
PA0789		probable amino acid permease	8.46	4.98E-23	1813.82	3.08
PA0790		hypothetical protein	2.09	0.0178358445	19.86	1.06
PA0791		probable transcriptional regulator	-1.83	0.0009249548	111.61	-0.87
PA0792	prpD	propionate catabolic protein PrpD	-16.60	7.13E-09	1384.20	-4.05
PA0793		hypothetical protein	-3.39	0.0095528212	434.20	-1.76
PA0798	pmtA	phospholipid methyltransferase	-4.01	0.0035831617	104.99	-2.00
PA0799		probable helicase	1.96	2.78E-05	314.20	0.97
PA0800		hypothetical protein	6.73	8.70E-11	150.00	2.75
PA0801		hypothetical protein	4.92	1.05E-13	349.38	2.30
PA0802		hypothetical protein	5.70	1.00E-27	78.13	2.51
PA0803		hypothetical protein	3.59	2.78E-08	146.54	1.84
PA0805		hypothetical protein	8.27	3.78E-61	10915.94	3.05
PA0806		hypothetical protein	-2.06	0.011832191	14.54	-1.04
PA0807	ampDh3	AmpDh3	-2.18	3.76E-05	294.53	-1.13
PA0810		probable haloacid dehalogenase	-1.51	0.043279414	71.92	-0.59
PA0813		hypothetical protein	-2.71	0.0006017877	28.78	-1.44
PA0815		probable transcriptional regulator	-2.20	4.72E-10	199.02	-1.13
PA0816		probable transcriptional regulator	1.71	0.0004947372	121.72	0.77
PA0820		hypothetical protein	-2.14	2.78E-13	478.78	-1.10
PA0821		hypothetical protein	-2.46	3.24E-11	100.28	-1.30
PA0827		hypothetical protein	-2.83	1.11E-07	62.38	-1.50
PA0830		hypothetical protein	-3.73	4.30E-12	56.28	-1.90
PA0831	oruR	transcriptional regulator OruR	2.00	1.95E-05	259.87	1.00
PA0833		hypothetical protein	-1.77	0.0002905272	880.71	-0.83
PA0834		conserved hypothetical protein	7.44	6.04E-72	379.18	2.90
PA0835	pta	phosphate acetyltransferase	-1.94	4.15E-09	513.52	-0.96
PA0838		probable glutathione peroxidase	1.60	0.0002982136	524.49	0.67
PA0839		probable transcriptional regulator	2.63	5.04E-07	49.35	1.40
PA0843	plcR	phospholipase accessory protein PlcR precursor	-4.97	0.0005979004	11.68	-2.31
PA0847		diguanylate cyclase	-5.05	1.20E-12	104.48	-2.34
PA0848	ahpB	alkyl hydroperoxide reductase , AhpB	-1.50	0.0061079376	87.83	-0.59
PA0849	trxB2	thioredoxin reductase 2	-2.70	5.22E-06	162.58	-1.43
PA0850		hypothetical protein	-3.86	0.0001135121	19.13	-1.95
PA0851		hypothetical protein	-2.21	1.25E-05	120.67	-1.14
PA0852	cbpD	chitin-binding protein CbpD precursor	-10.48	2.27E-17	1066.98	-3.39
PA0852.1		Uncharacterized protein	-12.38	1.00E-21	109.69	-3.63
PA0853		probable oxidoreductase	-4.98	1.45E-13	116.42	-2.32
PA0854	fumC2	fumarate hydratase	-7.97	2.54E-30	424.23	-2.99
PA0855		hypothetical protein	-2.55	5.84E-12	318.93	-1.35
PA0856		hypothetical protein	-2.12	5.74E-17	760.96	-1.09
PA0857	bolA	morphogene protein BolA	-1.86	4.31E-13	318.11	-0.90
PA0858		conserved hypothetical protein	7.91	4.18E-148	1768.20	2.98
PA0859		hypothetical protein	4.15	1.42E-28	251.14	2.05
PA0860		probable ATP-binding/permease fusion ABC transporter	3.31	2.54E-19	357.10	1.73
PA0861	rbdA	RbDA	-6.13	1.02E-27	555.98	-2.62
PA0862		hypothetical protein	-4.40	1.80E-53	366.02	-2.14
PA0863		probable oxidoreductase	-2.25	0.0008569712	45.71	-1.17
PA0866	aroP2	aromatic amino acid transport protein AroP2	4.16	3.45E-05	518.79	2.06
PA0867	mliC	membrane-bound lysozyme inhibitor of c-type lysozyme MliC	-2.61	9.20E-13	709.27	-1.39
PA0871	phhB	pterin-4-alpha-carbinolamine dehydratase	-2.15	0.0006598393	1214.25	-1.10
PA0874		hypothetical protein	10.49	1.47E-27	84.94	3.39
PA0876		probable transcriptional regulator	1.56	8.55E-06	265.77	0.64
PA0877		probable transcriptional regulator	1.91	0.0001366165	59.94	0.94
PA0888	aotJ	arginine/ornithine binding protein AotJ	1.54	0.0318511908	5241.49	0.63
PA0893	argR	transcriptional regulator ArgR	-1.64	0.0498090935	354.29	-0.72
PA0895	aruC	N2-Succinylornithine 5-aminotransferase (SOAT) = N2-acetylornithine 5-aminotransferase (ACOAT)	-1.79	1.12E-06	2834.88	-0.84
PA0899	aruB	N2-Succinylarginine dihydrolase	-1.84	0.0012165415	1243.74	-0.88
PA0900		hypothetical protein	-1.72	0.0025721921	348.36	-0.79
PA0903	alaS	alanyl-tRNA synthetase	3.50	1.03E-27	3553.50	1.81
PA0904	lysC	aspartate kinase alpha and beta chain	1.91	5.20E-05	1690.04	0.93
PA0905	rsmA	RsmA	-2.42	3.92E-06	1291.35	-1.28
PA0907	alpA	lysis phenotype activator, AlpA	1.71	0.0004991349	176.87	0.77
PA0913	mgtE	MgtE	3.90	8.00E-22	1103.73	1.96
PA0914		hypothetical protein	22.58	3.34E-17	64.51	4.50
PA0915		conserved hypothetical protein	12.06	2.58E-18	122.08	3.59
PA0916		conserved hypothetical protein	10.50	1.21E-37	952.06	3.39
PA0919		alanyl-phosphatidylglycerol hydrolase	-3.23	4.64E-07	231.35	-1.69
PA0920		alanyl-phosphatidylglycerol synthase	-2.93	5.74E-18	182.00	-1.55
PA0922		hypothetical protein	1.95	4.64E-08	140.32	0.97
PA0923	dinB	DNA Polymerase IV, DinB	2.91	1.53E-15	258.92	1.54
PA0925		hypothetical protein	2.35	3.54E-13	211.90	1.23
PA0926		hypothetical protein	1.72	8.65E-07	140.81	0.78
PA0927	ldhA	D-lactate dehydrogenase (fermentative)	-1.67	0.0016568386	137.01	-0.74
PA0930		two-component sensor	1.76	0.0049151125	187.09	0.82
PA0932	cysM	cysteine synthase B	2.04	5.98E-18	893.61	1.03
PA0934	relA	GTP pyrophosphokinase	-1.56	2.20E-05	2239.76	-0.64
PA0936	lpxO2	lipopolysaccharide biosynthetic protein LpxO2	2.55	2.57E-26	992.68	1.35
PA0940		hypothetical protein	-3.14	1.39E-05	28.56	-1.65
PA0941		hypothetical protein	-3.02	1.94E-05	31.57	-1.60
PA0943		hypothetical protein	2.01	1.28E-10	1348.15	1.01
PA0944	purN	phosphoribosylaminoimidazole synthetase	3.27	7.10E-12	632.83	1.71
PA0945	purM	phosphoribosylaminoimidazole synthetase	2.79	2.42E-23	1383.52	1.48
PA0947		conserved hypothetical protein	2.02	3.92E-08	659.19	1.01
PA0948		hypothetical protein	2.13	3.72E-06	141.27	1.09
PA0949	wrbA	Trp repressor binding protein WrbA	2.04	5.44E-24	420.23	1.03
PA0950		probable arsenate reductase	2.48	1.64E-21	322.86	1.31
PA0953		probable thioredoxin	4.72	2.53E-43	325.12	2.24
PA0954		probable acylphosphatase	3.14	1.72E-20	148.15	1.65
PA0956	proS	prolyl-tRNA synthetase	1.55	0.0019160627	2392.01	0.63
PA0958	oprD	Basic amino acid, basic peptide and imipenem outer membrane porin OprD precursor	-1.59	0.0045915176	15220.44	-0.67
PA0961		probable cold-shock protein	4.07	8.70E-25	212.47	2.03
PA0962	dps	DNA-binding protein from starved cells, Dps	-4.94	1.23E-25	1666.56	-2.30
PA0963	aspS	aspartyl-tRNA synthetase	3.83	7.09E-57	5607.96	1.94
PA0964	pmpR	pqsR-mediated PQS regulator, PmpR	1.98	0.0006399997	2357.77	0.98
PA0965	ruvC	Holliday junction resolvase RuvC	1.66	0.0054099303	303.22	0.73
PA0968		conserved hypothetical protein	1.72	0.000193068	778.27	0.79
PA0969	tolQ	TolQ protein	1.73	0.0002624338	1750.05	0.79
PA0970	tolR	TolR protein	1.81	8.02E-05	923.21	0.86
PA0972	tolB	TolB protein	1.60	0.0006318017	3104.66	0.67
PA0974		conserved hypothetical protein	2.09	1.44E-13	2293.08	1.07
PA0975		probable radical activating enzyme	23.14	1.36E-61	602.38	4.53
PA0976		conserved hypothetical protein	21.57	5.98E-51	509.43	4.43
PA0979		conserved hypothetical protein	-2.19	0.0103527487	15.19	-1.13
PA0982		hypothetical protein	-2.48	1.07E-05	66.46	-1.31
PA0983		conserved hypothetical protein	-1.76	0.0005333088	86.12	-0.81
PA0984		colicin immunity protein	-3.75	1.51E-07	164.90	-1.91
PA0985	pyoS5	pyocin S5	-9.86	6.30E-30	955.53	-3.30
PA0988		hypothetical protein	-3.42	5.47E-18	122.42	-1.77
PA0990		conserved hypothetical protein	-3.91	9.15E-08	29.65	-1.97
PA0991	hptA	Histidine phosphotransfer protein HptA	-1.90	0.0042064292	39.66	-0.93
PA0992	cupC1	fimbrial subunit CupC1	-1.55	0.019991719	55.77	-0.63
PA0993	cupC2	chaperone CupC2	3.36	0.0095146177	9.23	1.75
PA0995	ogt	methylated-DNA--protein-cysteine methyltransferase	-1.98	3.03E-06	95.92	-0.98
PA0996	pqsA	PqsA	-3.03	5.13E-09	3611.81	-1.60
PA0997	pqsB	PqsB	-4.87	1.58E-21	1709.13	-2.28
PA0998	pqsC	PqsC	-4.82	1.88E-28	1410.21	-2.27
PA0999	pqsD	3-oxoacyl-[acyl-carrier-protein] synthase III	-2.58	2.07E-11	1933.16	-1.37
PA1000	pqsE	Quinolone signal response protein	-2.00	3.33E-07	1980.86	-1.00
PA1001	phnA	anthranilate synthase component I	-1.93	1.73E-07	2518.86	-0.95
PA1002	phnB	anthranilate synthase component II	-2.51	8.34E-08	553.69	-1.33
PA1003	mvfR	Transcriptional regulator MvfR	-2.55	1.08E-06	1002.96	-1.35
PA1004	nadA	quinolinate synthetase A	6.37	4.81E-101	1534.43	2.67
PA1005		conserved hypothetical protein	-2.35	7.60E-33	493.68	-1.23
PA1006		Protein PA1006	2.65	4.29E-13	97.38	1.41
PA1007		conserved hypothetical protein	4.00	4.14E-30	292.92	2.00
PA1010	dapA	dihydrodipicolinate synthase	2.39	9.12E-54	2411.15	1.25
PA1011		hypothetical protein	2.40	8.85E-16	2657.19	1.26
PA1012		conserved hypothetical protein	2.32	5.11E-07	558.04	1.22
PA1014	wapB	1,2-glucosyltransferase WapB	2.51	8.02E-22	851.27	1.33
PA1022		probable acyl-CoA dehydrogenase	-2.13	3.00E-06	51.80	-1.09
PA1023		probable short-chain dehydrogenase	-5.46	1.30E-15	56.59	-2.45
PA1024		NADH:quinone reductase	-3.96	4.37E-09	37.57	-1.98
PA1026		hypothetical protein	1.62	0.0067004804	81.10	0.70
PA1027	amaB	delta1-Piperideine-6-carboxylate dehydrogenase	-2.23	0.0001478622	113.56	-1.16
PA1028	amaA	L-Pipecolate oxidase	-2.79	7.99E-05	44.67	-1.48
PA1031		conserved hypothetical protein	1.75	1.71E-08	825.26	0.81
PA1033		probable glutathione S-transferase	-3.24	1.79E-20	178.73	-1.70
PA1034		hypothetical protein	1.69	0.0150604844	274.60	0.76
PA1035		hypothetical protein	1.64	0.0052608704	560.42	0.72
PA1037		conserved hypothetical protein	4.62	3.79E-25	107.00	2.21
PA1038		hypothetical protein	-2.28	0.0021449987	28.17	-1.19
PA1039		conserved hypothetical protein	-2.92	1.70E-12	74.54	-1.54
PA1040		hypothetical protein	-2.90	3.57E-12	84.10	-1.53
PA1041		probable outer membrane protein precursor	-9.21	7.74E-08	1293.77	-3.20
PA1042		conserved hypothetical protein	-1.69	0.0110746788	110.35	-0.76
PA1044		hypothetical protein	1.73	0.0025698582	61.76	0.79
PA1045		hypothetical protein	3.36	3.84E-11	717.57	1.75
PA1048		probable outer membrane protein precursor	-2.38	8.31E-07	974.69	-1.25
PA1051		probable transporter	2.46	2.14E-07	61.23	1.30
PA1052		conserved hypothetical protein	1.62	0.0050102073	49.75	0.70
PA1054	shaA	ShaA	2.36	1.19E-20	590.45	1.24
PA1055	shaB	ShaB	1.61	0.0334051336	55.92	0.69
PA1056	shaC	ShaC	1.83	0.0008132174	194.50	0.87
PA1057	shaD	ShaD	2.11	0.0005368628	91.98	1.08
PA1058	shaE	ShaE	2.10	0.0234542077	31.35	1.07
PA1061		conserved hypothetical protein	-1.98	8.31E-06	180.10	-0.98
PA1062		hypothetical protein	-1.99	0.0001384538	80.11	-0.99
PA1063		hypothetical protein	-3.34	1.21E-06	39.67	-1.74
PA1065		conserved hypothetical protein	-4.92	2.27E-08	70.68	-2.30
PA1066		probable short-chain dehydrogenase	-2.89	6.69E-06	55.96	-1.53
PA1067		probable transcriptional regulator	-1.83	0.0036077604	47.30	-0.87
PA1068		probable heat shock protein (hsp90 family)	1.62	0.0004199712	860.48	0.70
PA1069		hypothetical protein	2.61	6.73E-12	1322.50	1.38
PA1075		hypothetical protein	1.97	5.67E-06	123.43	0.97
PA1076		hypothetical protein	-2.55	4.88E-05	487.45	-1.35
PA1077	flgB	flagellar basal-body rod protein FlgB	1.94	0.0047043069	446.33	0.96
PA1078	flgC	flagellar basal-body rod protein FlgC	1.97	0.0023853078	352.86	0.98
PA1079	flgD	flagellar basal-body rod modification protein FlgD	1.75	0.0030652288	613.89	0.81
PA1080	flgE	flagellar hook protein FlgE	1.68	0.0053323022	2027.16	0.75
PA1081	flgF	flagellar basal-body rod protein FlgF	2.27	0.0002224677	404.38	1.18
PA1082	flgG	flagellar basal-body rod protein FlgG	1.53	0.0498090935	857.56	0.62
PA1083	flgH	flagellar L-ring protein precursor FlgH	1.82	0.0049119534	485.27	0.86
PA1084	flgI	flagellar P-ring protein precursor FlgI	2.13	1.86E-07	444.53	1.09
PA1086	flgK	flagellar hook-associated protein 1 FlgK	-2.55	9.56E-10	748.16	-1.35
PA1087	flgL	flagellar hook-associated protein type 3 FlgL	-2.13	1.48E-07	696.83	-1.09
PA1088		hypothetical protein	-3.89	9.09E-17	313.06	-1.96
PA1089		conserved hypothetical protein	-2.99	3.90E-08	147.85	-1.58
PA1090		hypothetical protein	-2.75	1.85E-10	133.39	-1.46
PA1091	fgtA	flagellar glycosyl transferase, FgtA	-4.65	3.59E-09	1164.06	-2.22
PA1097	fleQ	transcriptional regulator FleQ	1.54	3.01E-14	2689.20	0.63
PA1098	fleS	two-component sensor	1.55	8.63E-06	708.70	0.63
PA1100	fliE	flagellar hook-basal body complex protein FliE	1.55	0.0125356853	175.64	0.63
PA1106		hypothetical protein	-1.84	0.0042132347	146.40	-0.88
PA1107	roeA	RoeA	-2.12	0.003625521	35.92	-1.08
PA1111		hypothetical protein	-1.95	0.0293272488	20.68	-0.96
PA1112		conserved hypothetical protein	-5.66	1.72E-09	202.01	-2.50
PA1115		hypothetical protein	-1.63	4.55E-07	273.35	-0.70
PA1116		hypothetical protein	7.14	1.03E-39	334.36	2.84
PA1117		hypothetical protein	3.00	2.44E-10	178.28	1.59
PA1118		hypothetical protein	-2.78	0.0005720786	125.46	-1.48
PA1119	yfiB	YfiB	-3.97	3.57E-09	179.73	-1.99
PA1120	tpbB	diguanylate cyclase TpbB	-1.96	0.0004588548	167.76	-0.97
PA1121	yfiR	YfiR	-2.22	0.0001771103	134.64	-1.15
PA1122		putative peptide deformylase	-1.66	0.0001481208	152.33	-0.73
PA1124	dgt	deoxyguanosinetriphosphate triphosphohydrolase	-3.42	7.68E-30	271.83	-1.77
PA1126		hypothetical protein	2.09	3.23E-09	198.59	1.07
PA1127		probable oxidoreductase	1.53	8.53E-05	299.38	0.61
PA1128		probable transcriptional regulator	1.70	0.0042559465	87.44	0.76
PA1130	rhlC	rhamnosyltransferase 2	-5.82	5.35E-12	230.77	-2.54
PA1131		probable major facilitator superfamily (MFS) transporter	-2.59	1.44E-05	130.85	-1.37
PA1132		hypothetical protein	2.37	3.83E-06	205.28	1.24
PA1135		conserved hypothetical protein	-13.18	9.98E-15	141.65	-3.72
PA1140		conserved hypothetical protein	-1.99	2.68E-10	171.96	-0.99
PA1147		probable amino acid permease	2.11	7.10E-05	67.95	1.08
PA1148	toxA	exotoxin A precursor	-5.54	2.59E-17	248.23	-2.47
PA1151	imm2	pyocin S2 immunity protein	-2.97	1.54E-14	1096.06	-1.57
PA1154		conserved hypothetical protein	3.00	0.0001402905	22.05	1.59
PA1157		probable two-component response regulator	4.82	3.49E-39	371.35	2.27
PA1158		probable two-component sensor	6.36	9.86E-45	372.70	2.67
PA1159		probable cold-shock protein	-1.53	0.0008465066	2629.06	-0.61
PA1163	ndvB	NdvB	2.12	8.60E-05	186.80	1.09
PA1164		conserved hypothetical protein	3.22	2.41E-16	311.80	1.69
PA1166		hypothetical protein	-6.67	5.11E-07	145.17	-2.74
PA1167		hypothetical protein	-7.87	2.75E-13	90.97	-2.98
PA1168		hypothetical protein	-3.77	1.33E-05	53.29	-1.92
PA1170		conserved hypothetical protein	2.31	0.0104198198	114.60	1.21
PA1174	napA	periplasmic nitrate reductase protein NapA	-2.48	0.0023995928	114.78	-1.31
PA1175	napD	NapD protein of periplasmic nitrate reductase	-8.70	2.63E-07	29.48	-3.12
PA1176	napF	ferredoxin protein NapF	-2.91	0.0043296129	32.06	-1.54
PA1177	napE	periplasmic nitrate reductase protein NapE	-2.10	0.0224632269	33.40	-1.07
PA1180	phoQ	two-component sensor PhoQ	-1.58	0.00417348	316.77	-0.66
PA1181		conserved hypothetical protein	-2.26	0.0030722343	289.91	-1.18
PA1182		probable transcriptional regulator	-1.50	0.0276922002	49.12	-0.59
PA1189		conserved hypothetical protein	1.77	0.0082367512	35.93	0.82
PA1190		conserved hypothetical protein	-4.90	0.0010809598	103.87	-2.29
PA1191		hypothetical protein	-3.83	3.96E-07	41.07	-1.94
PA1192		conserved hypothetical protein	2.30	1.53E-07	660.72	1.20
PA1193		hypothetical protein	4.02	1.13E-22	352.93	2.01
PA1194		probable amino acid permease	1.89	0.0238497304	26.36	0.92
PA1196	ddaR	transcriptional regulator DdaR	2.03	0.016502987	80.62	1.02
PA1197		hypothetical protein	-1.60	0.0239866071	83.64	-0.68
PA1201		probable transcriptional regulator	-2.51	1.81E-08	91.86	-1.33
PA1202		probable hydrolase	-13.70	2.01E-19	705.10	-3.78
PA1203		hypothetical protein	-2.61	9.99E-05	74.83	-1.39
PA1204		NAD(P)H quinone oxidoreductase	-1.76	0.0014687024	99.50	-0.81
PA1205		conserved hypothetical protein	-1.96	0.0029122611	157.30	-0.97
PA1207	kefB	glutathione-regulated potassium-efflux system protein KefB	1.69	9.06E-07	515.56	0.75
PA1208		conserved hypothetical protein	-2.44	0.0005811233	77.10	-1.29
PA1210		conserved hypothetical protein	-3.11	3.03E-06	27.14	-1.63
PA1216		hypothetical protein	-3.52	0.0196767027	34.22	-1.82
PA1217		probable 2-isopropylmalate synthase	-3.14	0.0071343451	40.12	-1.65
PA1228		hypothetical protein	13.72	3.04E-21	228.45	3.78
PA1232		hypothetical protein	2.32	0.0013793766	18.43	1.21
PA1235		probable transcriptional regulator	-1.56	0.0087367417	61.51	-0.64
PA1240		probable enoyl-CoA hydratase/isomerase	-2.51	0.0026347655	27.84	-1.33
PA1241		probable transcriptional regulator	1.90	1.47E-07	123.78	0.92
PA1243		probable sensor/response regulator hybrid	-2.82	1.55E-10	333.41	-1.50
PA1244		hypothetical protein	-4.65	9.56E-77	840.01	-2.22
PA1245	aprX	AprX	-8.10	1.10E-13	1703.84	-3.02
PA1246	aprD	alkaline protease secretion protein AprD	-7.19	1.21E-11	376.03	-2.85
PA1247	aprE	alkaline protease secretion protein AprE	-7.62	1.73E-34	172.50	-2.93
PA1248	aprF	Alkaline protease secretion outer membrane protein AprF precursor	-9.14	4.86E-28	172.23	-3.19
PA1249	aprA	alkaline metalloproteinase precursor	-71.76	2.07E-39	2276.31	-6.17
PA1250	aprI	alkaline proteinase inhibitor AprI	-3.83	1.84E-20	398.39	-1.94
PA1252	dpkA	DpkA	-6.33	5.37E-14	396.32	-2.66
PA1253	lhpG	alpha-ketoglutaric semialdehyde dehydrogenase, LhpG	-11.61	0.0001083868	121.50	-3.54
PA1254	lhpC	delta1-pyrroline-4-hydroxy-2-carboxylate deaminase, LphC	-13.34	8.76E-05	290.97	-3.74
PA1255	lhpK	D-hydroxyproline epimerase, LhpK	-5.15	0.0182471551	128.53	-2.37
PA1256	lhpO	ABC transporter ATP-binding protein, LhpO	-4.08	0.0280311265	126.03	-2.03
PA1259	lhpH	LhpH	-5.62	0.0078729563	143.08	-2.49
PA1261	lhpR	Transcriptional regulator, LhpR	-1.93	0.0303382947	14.66	-0.95
PA1266	lhpE	D-hydroxyproline dehydrogenase alpha-subunit, LphE	-5.46	4.16E-08	160.23	-2.45
PA1266.1	lhpF	D-hydroxyproline dehydrogenase gamma-subunit, LphF	-4.89	0.0005495771	11.29	-2.29
PA1268	lhpA	Hydroxyproline 2-epimerase, LhpA	-4.73	4.12E-05	238.60	-2.24
PA1271		probable tonB-dependent receptor	4.40	3.24E-15	714.88	2.14
PA1273	cobB	cobyrinic acid a,c-diamide synthase	1.76	0.0440348234	198.73	0.82
PA1274		conserved hypothetical protein	2.49	0.0014576041	84.05	1.31
PA1275	cobD	cobalamin biosynthetic protein CobD	2.80	0.0045290445	91.28	1.48
PA1282		probable major facilitator superfamily (MFS) transporter	2.54	0.0013462203	26.90	1.34
PA1283		probable transcriptional regulator	-3.14	7.65E-12	81.48	-1.65
